date,expected_value,preliminary_value,name,confirmed_value
160803,,,,
160803,600,600,銀行券要因,
160803,-46700,-46700,財政等要因,
160803,-46100,-46100,資金過不足,
160803,9000,9000,国債買入,
160803,12500,12500,国庫短期証券買入,
160803,,,国庫短期証券売却,
160803,,,国債買現先,
160803,,,国債売現先,
160803,,,共通担保資金供給（本店）,
160803,,,共通担保資金供給（全店）,
160803,,,ＣＰ買現先,
160803,,,手形売出,
160803,-100,-100,ＣＰ等買入,
160803,-100,-100,社債等買入,
160803,,,ＥＴＦ買入,
160803,,,Ｊ-ＲＥＩＴ買入,
160803,,,被災地金融機関支援資金供給等,
160803,,,貸出,
160803,300,300,国債補完供給,
160803,,-500,-500,
160803,+21600,+21100,小計（除く貸出支援基金）,
160803,,,成長基盤強化支援資金供給,
160803,,,貸出増加支援資金供給,
160803,+0,+0,小計（貸出支援基金）,
160803,+21600,+21100,合計,
160803,-24500,-25000,当座預金増減,
160803,,2971200,当座預金残高,
160803,,2671900,準備預金残高,
160803,,2214500,積み終了先,
160803,,2214500,超過準備,
160803,,299300,非準預先残高,
160803,,,マネタリーベース,
160803,,積み期間（7/16～8/15日）の所要準備額（積数）,積み期間（7/16～8/15日）の所要準備額（積数）,2139400
160803,,積み期間（7/16～8/15日）の所要準備額（１日平均）,積み期間（7/16～8/15日）の所要準備額（１日平均）,69000
160803,,8/4日以降の残り要積立額（積数）,8/4日以降の残り要積立額（積数）,4800
160803,,8/4日以降の残り要積立額（１日平均）,8/4日以降の残り要積立額（１日平均）,400
