date,expected_value,preliminary_value,name,confirmed_value
161115,,,,
161115,500,600,銀行券要因,
161115,-3300,-4000,財政等要因,
161115,-2800,-3400,資金過不足,
161115,11700,11700,国債買入,
161115,15000,15000,国庫短期証券買入,
161115,,,国庫短期証券売却,
161115,,,国債買現先,
161115,,,国債売現先,
161115,,,共通担保資金供給（本店）,
161115,,,共通担保資金供給（全店）,
161115,,,ＣＰ買現先,
161115,,,手形売出,
161115,-600,-600,ＣＰ等買入,
161115,,,社債等買入,
161115,100,100,ＥＴＦ買入,
161115,,,Ｊ-ＲＥＩＴ買入,
161115,,,被災地金融機関支援資金供給等,
161115,,,貸出,
161115,200,200,国債補完供給,
161115,,-300,-300,
161115,,,米ドル資金供給用担保国債供給,
161115,+26400,+26100,小計（除く貸出支援基金）,
161115,,,成長基盤強化支援資金供給,
161115,,,貸出増加支援資金供給,
161115,+0,+0,小計（貸出支援基金）,
161115,+26400,+26100,合計,
161115,+23600,+22700,当座預金増減,
161115,,3162100,当座預金残高,
161115,,2858100,準備預金残高,
161115,,2401700,積み終了先,
161115,,2401500,超過準備,
161115,,304000,非準預先残高,
161115,,,マネタリーベース,
161115,,積み期間（10/16～11/15日）の所要準備額（積数）,積み期間（10/16～11/15日）の所要準備額（積数）,2170500
161115,,積み期間（10/16～11/15日）の所要準備額（１日平均）,積み期間（10/16～11/15日）の所要準備額（１日平均）,70000
