date,expected_value,preliminary_value,name,confirmed_value
160727,,,,
160727,-600,-600,銀行券要因,
160727,-400,-600,財政等要因,
160727,-1000,-1200,資金過不足,
160727,12700,12700,国債買入,
160727,,,国庫短期証券買入,
160727,,,国庫短期証券売却,
160727,,,国債買現先,
160727,,,国債売現先,
160727,,,共通担保資金供給（本店）,
160727,,,共通担保資金供給（全店）,
160727,,,ＣＰ買現先,
160727,,,手形売出,
160727,-400,-400,ＣＰ等買入,
160727,,,社債等買入,
160727,,,ＥＴＦ買入,
160727,,,Ｊ-ＲＥＩＴ買入,
160727,,,被災地金融機関支援資金供給等,
160727,,,貸出,
160727,300,300,国債補完供給,
160727,,-200,-200,
160727,+12600,+12400,小計（除く貸出支援基金）,
160727,,,成長基盤強化支援資金供給,
160727,,,貸出増加支援資金供給,
160727,+0,+0,小計（貸出支援基金）,
160727,+12600,+12400,合計,
160727,+11600,+11200,当座預金増減,
160727,,3023500,当座預金残高,
160727,,2720800,準備預金残高,
160727,,2257500,積み終了先,
160727,,2257500,超過準備,
160727,,302700,非準預先残高,
160727,,,マネタリーベース,
160727,,積み期間（7/16～8/15日）の所要準備額（積数）,積み期間（7/16～8/15日）の所要準備額（積数）,2136900
160727,,積み期間（7/16～8/15日）の所要準備額（１日平均）,積み期間（7/16～8/15日）の所要準備額（１日平均）,68900
160727,,7/28日以降の残り要積立額（積数）,7/28日以降の残り要積立額（積数）,11900
160727,,7/28日以降の残り要積立額（１日平均）,7/28日以降の残り要積立額（１日平均）,600
