date,expected_value,preliminary_value,name,confirmed_value
160915,,,,
160915,-1000,-1100,銀行券要因,
160915,-11100,-11700,財政等要因,
160915,-12100,-12800,資金過不足,
160915,,,国債買入,
160915,,,国庫短期証券買入,
160915,,,国庫短期証券売却,
160915,,,国債買現先,
160915,,,国債売現先,
160915,,,共通担保資金供給（本店）,
160915,,,共通担保資金供給（全店）,
160915,,,ＣＰ買現先,
160915,,,手形売出,
160915,-1000,-1000,ＣＰ等買入,
160915,-100,-100,社債等買入,
160915,,,ＥＴＦ買入,
160915,,,Ｊ-ＲＥＩＴ買入,
160915,,,被災地金融機関支援資金供給等,
160915,,,貸出,
160915,3600,3600,国債補完供給,
160915,,-800,-800,
160915,+2500,+1700,小計（除く貸出支援基金）,
160915,,,成長基盤強化支援資金供給,
160915,,,貸出増加支援資金供給,
160915,+0,+0,小計（貸出支援基金）,
160915,+2500,+1700,合計,
160915,-9600,-11100,当座預金増減,
160915,,3025800,当座預金残高,
160915,,2722900,準備預金残高,
160915,,2273800,積み終了先,
160915,,2273800,超過準備,
160915,,302900,非準預先残高,
160915,,,マネタリーベース,
160915,,積み期間（8/16～9/15日）の所要準備額（積数）,積み期間（8/16～9/15日）の所要準備額（積数）,2148900
160915,,積み期間（8/16～9/15日）の所要準備額（１日平均）,積み期間（8/16～9/15日）の所要準備額（１日平均）,69300
