date,expected_value,preliminary_value,name,confirmed_value
160715,,,,
160715,-800,-800,銀行券要因,
160715,-9000,-7400,財政等要因,
160715,-9800,-8200,資金過不足,
160715,8100,8100,国債買入,
160715,,,国庫短期証券買入,
160715,,,国庫短期証券売却,
160715,,,国債買現先,
160715,,,国債売現先,
160715,,,共通担保資金供給（本店）,
160715,,,共通担保資金供給（全店）,
160715,,,ＣＰ買現先,
160715,,,手形売出,
160715,-300,-300,ＣＰ等買入,
160715,-100,-100,社債等買入,
160715,200,200,ＥＴＦ買入,
160715,,,Ｊ-ＲＥＩＴ買入,
160715,,,被災地金融機関支援資金供給等,
160715,,,貸出,
160715,3400,3400,国債補完供給,
160715,,-3400,"-3,400",
160715,+11300,+7900,小計（除く貸出支援基金）,
160715,,,成長基盤強化支援資金供給,
160715,,,貸出増加支援資金供給,
160715,+0,+0,小計（貸出支援基金）,
160715,+11300,+7900,合計,
160715,+1500,-300,当座預金増減,
160715,,3003900,当座預金残高,
160715,,2722500,準備預金残高,
160715,,2251300,積み終了先,
160715,,2251300,超過準備,
160715,,281400,非準預先残高,
160715,,,マネタリーベース,
160715,,積み期間（6/16～7/15日）の所要準備額（積数）,積み期間（6/16～7/15日）の所要準備額（積数）,2076200
160715,,積み期間（6/16～7/15日）の所要準備額（１日平均）,積み期間（6/16～7/15日）の所要準備額（１日平均）,69200
