date,expected_value,preliminary_value,name,confirmed_value
160822,,,,
160822,600,400,銀行券要因,
160822,-53000,-52700,財政等要因,
160822,-52400,-52300,資金過不足,
160822,,,国債買入,
160822,,,国庫短期証券買入,
160822,,,国庫短期証券売却,
160822,,,国債買現先,
160822,,,国債売現先,
160822,,,共通担保資金供給（本店）,
160822,1900,1900,共通担保資金供給（全店）,
160822,-2000,-2000,"-2,000",
160822,,,ＣＰ買現先,
160822,,,手形売出,
160822,-600,-600,ＣＰ等買入,
160822,,,社債等買入,
160822,200,200,ＥＴＦ買入,
160822,,,Ｊ-ＲＥＩＴ買入,
160822,,,被災地金融機関支援資金供給等,
160822,,,貸出,
160822,200,200,国債補完供給,
160822,,-900,-900,
160822,-300,-1200,小計（除く貸出支援基金）,
160822,,,成長基盤強化支援資金供給,
160822,,,貸出増加支援資金供給,
160822,+0,+0,小計（貸出支援基金）,
160822,-300,-1200,合計,
160822,-52700,-53500,当座預金増減,
160822,,2992400,当座預金残高,
160822,,2703900,準備預金残高,
160822,,2235500,積み終了先,
160822,,2235300,超過準備,
160822,,288500,非準預先残高,
160822,,,マネタリーベース,
160822,,積み期間（8/16～9/15日）の所要準備額（積数）,積み期間（8/16～9/15日）の所要準備額（積数）,2142600
160822,,積み期間（8/16～9/15日）の所要準備額（１日平均）,積み期間（8/16～9/15日）の所要準備額（１日平均）,69100
160822,,8/23日以降の残り要積立額（積数）,8/23日以降の残り要積立額（積数）,18300
160822,,8/23日以降の残り要積立額（１日平均）,8/23日以降の残り要積立額（１日平均）,800
