date,expected_value,preliminary_value,name,confirmed_value
160725,,,,
160725,-400,-700,銀行券要因,
160725,-8600,-10100,財政等要因,
160725,-9000,-10800,資金過不足,
160725,11600,11600,国債買入,
160725,,,国庫短期証券買入,
160725,,,国庫短期証券売却,
160725,,,国債買現先,
160725,,,国債売現先,
160725,,,共通担保資金供給（本店）,
160725,4800,4800,共通担保資金供給（全店）,
160725,-2700,-2700,"-2,700",
160725,,,ＣＰ買現先,
160725,,,手形売出,
160725,-300,-300,ＣＰ等買入,
160725,-200,-200,社債等買入,
160725,,,ＥＴＦ買入,
160725,,,Ｊ-ＲＥＩＴ買入,
160725,,,被災地金融機関支援資金供給等,
160725,,,貸出,
160725,100,100,国債補完供給,
160725,,-300,-300,
160725,+13300,+13000,小計（除く貸出支援基金）,
160725,,,成長基盤強化支援資金供給,
160725,,,貸出増加支援資金供給,
160725,+0,+0,小計（貸出支援基金）,
160725,+13300,+13000,合計,
160725,+4300,+2200,当座預金増減,
160725,,2999900,当座預金残高,
160725,,2710200,準備預金残高,
160725,,2242600,積み終了先,
160725,,2242400,超過準備,
160725,,289700,非準預先残高,
160725,,,マネタリーベース,
160725,,積み期間（7/16～8/15日）の所要準備額（積数）,積み期間（7/16～8/15日）の所要準備額（積数）,2137000
160725,,積み期間（7/16～8/15日）の所要準備額（１日平均）,積み期間（7/16～8/15日）の所要準備額（１日平均）,68900
160725,,7/26日以降の残り要積立額（積数）,7/26日以降の残り要積立額（積数）,14400
160725,,7/26日以降の残り要積立額（１日平均）,7/26日以降の残り要積立額（１日平均）,700
