date,expected_value,preliminary_value,name,confirmed_value
160719,,,,
160719,700,700,銀行券要因,
160719,-30300,-30500,財政等要因,
160719,-29600,-29800,資金過不足,
160719,,,国債買入,
160719,,,国庫短期証券買入,
160719,,,国庫短期証券売却,
160719,,,国債買現先,
160719,,,国債売現先,
160719,,,共通担保資金供給（本店）,
160719,4000,4000,共通担保資金供給（全店）,
160719,-2800,-2800,"-2,800",
160719,,,ＣＰ買現先,
160719,,,手形売出,
160719,-300,-300,ＣＰ等買入,
160719,,,社債等買入,
160719,600,600,ＥＴＦ買入,
160719,,,Ｊ-ＲＥＩＴ買入,
160719,,,被災地金融機関支援資金供給等,
160719,,,貸出,
160719,3400,3400,国債補完供給,
160719,,-500,-500,
160719,+4900,+4400,小計（除く貸出支援基金）,
160719,,,成長基盤強化支援資金供給,
160719,,,貸出増加支援資金供給,
160719,+0,+0,小計（貸出支援基金）,
160719,+4900,+4400,合計,
160719,-24700,-25400,当座預金増減,
160719,,2978500,当座預金残高,
160719,,2696500,準備預金残高,
160719,,2198000,積み終了先,
160719,,2180100,超過準備,
160719,,282000,非準預先残高,
160719,,,マネタリーベース,
160719,,積み期間（7/16～8/15日）の所要準備額（積数）,積み期間（7/16～8/15日）の所要準備額（積数）,2137000
160719,,積み期間（7/16～8/15日）の所要準備額（１日平均）,積み期間（7/16～8/15日）の所要準備額（１日平均）,68900
160719,,7/20日以降の残り要積立額（積数）,7/20日以降の残り要積立額（積数）,57700
160719,,7/20日以降の残り要積立額（１日平均）,7/20日以降の残り要積立額（１日平均）,2100
