date,expected_value,preliminary_value,name,confirmed_value
160711,,,,
160711,1100,1100,銀行券要因,
160711,-60300,-59600,財政等要因,
160711,-59200,-58500,資金過不足,
160711,,,国債買入,
160711,,,国庫短期証券買入,
160711,,,国庫短期証券売却,
160711,,,国債買現先,
160711,,,国債売現先,
160711,,,共通担保資金供給（本店）,
160711,2700,2700,共通担保資金供給（全店）,
160711,-4100,-4100,"-4,100",
160711,,,ＣＰ買現先,
160711,,,手形売出,
160711,-600,-600,ＣＰ等買入,
160711,,,社債等買入,
160711,100,100,ＥＴＦ買入,
160711,,,Ｊ-ＲＥＩＴ買入,
160711,,,被災地金融機関支援資金供給等,
160711,,,貸出,
160711,200,200,国債補完供給,
160711,,-200,-200,
160711,-1700,-1900,小計（除く貸出支援基金）,
160711,,,成長基盤強化支援資金供給,
160711,,,貸出増加支援資金供給,
160711,+0,+0,小計（貸出支援基金）,
160711,-1700,-1900,合計,
160711,-60900,-60400,当座預金増減,
160711,,2988700,当座預金残高,
160711,,2709900,準備預金残高,
160711,,2233500,積み終了先,
160711,,2233500,超過準備,
160711,,278800,非準預先残高,
160711,,,マネタリーベース,
160711,,積み期間（6/16～7/15日）の所要準備額（積数）,積み期間（6/16～7/15日）の所要準備額（積数）,2076200
160711,,積み期間（6/16～7/15日）の所要準備額（１日平均）,積み期間（6/16～7/15日）の所要準備額（１日平均）,69200
160711,,7/12日以降の残り要積立額（積数）,7/12日以降の残り要積立額（積数）,200
160711,,7/12日以降の残り要積立額（１日平均）,7/12日以降の残り要積立額（１日平均）,0
