date,expected_value,preliminary_value,name,confirmed_value
160801,,,,
160801,1000,1000,銀行券要因,
160801,-20900,-21500,財政等要因,
160801,-19900,-20500,資金過不足,
160801,,,国債買入,
160801,,,国庫短期証券買入,
160801,,,国庫短期証券売却,
160801,,,国債買現先,
160801,,,国債売現先,
160801,,,共通担保資金供給（本店）,
160801,5100,5100,共通担保資金供給（全店）,
160801,-4000,-4000,"-4,000",
160801,,,ＣＰ買現先,
160801,,,手形売出,
160801,-100,-100,ＣＰ等買入,
160801,,,社債等買入,
160801,,,ＥＴＦ買入,
160801,,,Ｊ-ＲＥＩＴ買入,
160801,,,被災地金融機関支援資金供給等,
160801,,,貸出,
160801,500,500,国債補完供給,
160801,,-200,-200,
160801,+1500,+1300,小計（除く貸出支援基金）,
160801,,,成長基盤強化支援資金供給,
160801,,,貸出増加支援資金供給,
160801,+0,+0,小計（貸出支援基金）,
160801,+1500,+1300,合計,
160801,-18400,-19200,当座預金増減,
160801,,3008700,当座預金残高,
160801,,2702300,準備預金残高,
160801,,2242600,積み終了先,
160801,,2242600,超過準備,
160801,,306400,非準預先残高,
160801,,,マネタリーベース,
160801,,積み期間（7/16～8/15日）の所要準備額（積数）,積み期間（7/16～8/15日）の所要準備額（積数）,2139400
160801,,積み期間（7/16～8/15日）の所要準備額（１日平均）,積み期間（7/16～8/15日）の所要準備額（１日平均）,69000
160801,,8/2日以降の残り要積立額（積数）,8/2日以降の残り要積立額（積数）,6400
160801,,8/2日以降の残り要積立額（１日平均）,8/2日以降の残り要積立額（１日平均）,500
