date,expected_value,preliminary_value,name,confirmed_value
161014,,,,
161014,-700,-600,銀行券要因,
161014,62900,62600,財政等要因,
161014,62200,62000,資金過不足,
161014,,,国債買入,
161014,,,国庫短期証券買入,
161014,,,国庫短期証券売却,
161014,,,国債買現先,
161014,,,国債売現先,
161014,,,共通担保資金供給（本店）,
161014,-100,-100,共通担保資金供給（全店）,
161014,,,ＣＰ買現先,
161014,,,手形売出,
161014,-900,-900,ＣＰ等買入,
161014,-200,-200,社債等買入,
161014,400,400,ＥＴＦ買入,
161014,,,Ｊ-ＲＥＩＴ買入,
161014,,,被災地金融機関支援資金供給等,
161014,,,貸出,
161014,1000,1000,国債補完供給,
161014,,,米ドル資金供給用担保国債供給,
161014,+200,+200,小計（除く貸出支援基金）,
161014,,,成長基盤強化支援資金供給,
161014,,,貸出増加支援資金供給,
161014,+0,+0,小計（貸出支援基金）,
161014,+200,+200,合計,
161014,+62400,+62200,当座預金増減,
161014,,3153500,当座預金残高,
161014,,2828900,準備預金残高,
161014,,2347600,積み終了先,
161014,,2347600,超過準備,
161014,,324600,非準預先残高,
161014,,,マネタリーベース,
161014,,積み期間（9/16～10/15日）の所要準備額（積数）,積み期間（9/16～10/15日）の所要準備額（積数）,2088800
161014,,積み期間（9/16～10/15日）の所要準備額（１日平均）,積み期間（9/16～10/15日）の所要準備額（１日平均）,69600
