date,expected_value,preliminary_value,name,confirmed_value
160815,,,,
160815,800,1000,銀行券要因,
160815,30100,31100,財政等要因,
160815,30900,32100,資金過不足,
160815,11800,11800,国債買入,
160815,,,国庫短期証券買入,
160815,,,国庫短期証券売却,
160815,,,国債買現先,
160815,,,国債売現先,
160815,,,共通担保資金供給（本店）,
160815,1900,1900,共通担保資金供給（全店）,
160815,-5100,-5100,"-5,100",
160815,,,ＣＰ買現先,
160815,,,手形売出,
160815,-800,-800,ＣＰ等買入,
160815,-100,-100,社債等買入,
160815,200,200,ＥＴＦ買入,
160815,,,Ｊ-ＲＥＩＴ買入,
160815,,,被災地金融機関支援資金供給等,
160815,,,貸出,
160815,200,200,国債補完供給,
160815,,-1000,"-1,000",
160815,+8100,+7100,小計（除く貸出支援基金）,
160815,,,成長基盤強化支援資金供給,
160815,,,貸出増加支援資金供給,
160815,+0,+0,小計（貸出支援基金）,
160815,+8100,+7100,合計,
160815,+39000,+39200,当座預金増減,
160815,,2997700,当座預金残高,
160815,,2713600,準備預金残高,
160815,,2245800,積み終了先,
160815,,2245800,超過準備,
160815,,284100,非準預先残高,
160815,,,マネタリーベース,
160815,,積み期間（7/16～8/15日）の所要準備額（積数）,積み期間（7/16～8/15日）の所要準備額（積数）,2152100
160815,,積み期間（7/16～8/15日）の所要準備額（１日平均）,積み期間（7/16～8/15日）の所要準備額（１日平均）,69400
