date,expected_value,preliminary_value,name,confirmed_value
160823,,,,
160823,-100,-200,銀行券要因,
160823,-900,0,財政等要因,
160823,-1000,-200,資金過不足,
160823,12700,12700,国債買入,
160823,25100,25100,国庫短期証券買入,
160823,,,国庫短期証券売却,
160823,,,国債買現先,
160823,,,国債売現先,
160823,,,共通担保資金供給（本店）,
160823,,,共通担保資金供給（全店）,
160823,,,ＣＰ買現先,
160823,,,手形売出,
160823,-200,-200,ＣＰ等買入,
160823,,,社債等買入,
160823,1400,1400,ＥＴＦ買入,
160823,,,Ｊ-ＲＥＩＴ買入,
160823,,,被災地金融機関支援資金供給等,
160823,,,貸出,
160823,900,900,国債補完供給,
160823,,-200,-200,
160823,+39900,+39700,小計（除く貸出支援基金）,
160823,,,成長基盤強化支援資金供給,
160823,,,貸出増加支援資金供給,
160823,+0,+0,小計（貸出支援基金）,
160823,+39900,+39700,合計,
160823,+38900,+39500,当座預金増減,
160823,,3031900,当座預金残高,
160823,,2728800,準備預金残高,
160823,,2263000,積み終了先,
160823,,2263000,超過準備,
160823,,303100,非準預先残高,
160823,,,マネタリーベース,
160823,,積み期間（8/16～9/15日）の所要準備額（積数）,積み期間（8/16～9/15日）の所要準備額（積数）,2142600
160823,,積み期間（8/16～9/15日）の所要準備額（１日平均）,積み期間（8/16～9/15日）の所要準備額（１日平均）,69100
160823,,8/24日以降の残り要積立額（積数）,8/24日以降の残り要積立額（積数）,16400
160823,,8/24日以降の残り要積立額（１日平均）,8/24日以降の残り要積立額（１日平均）,700
