date,expected_value,preliminary_value,name,confirmed_value
160713,,,,
160713,500,600,銀行券要因,
160713,-15500,-14100,財政等要因,
160713,-15000,-13500,資金過不足,
160713,,,国債買入,
160713,,,国庫短期証券買入,
160713,,,国庫短期証券売却,
160713,,,国債買現先,
160713,,,国債売現先,
160713,,,共通担保資金供給（本店）,
160713,,,共通担保資金供給（全店）,
160713,,,ＣＰ買現先,
160713,,,手形売出,
160713,-100,-100,ＣＰ等買入,
160713,,,社債等買入,
160713,,,ＥＴＦ買入,
160713,,,Ｊ-ＲＥＩＴ買入,
160713,,,被災地金融機関支援資金供給等,
160713,,,貸出,
160713,3000,3000,国債補完供給,
160713,,-3600,"-3,600",
160713,+2900,-700,小計（除く貸出支援基金）,
160713,,,成長基盤強化支援資金供給,
160713,,,貸出増加支援資金供給,
160713,+0,+0,小計（貸出支援基金）,
160713,+2900,-700,合計,
160713,-12100,-14200,当座預金増減,
160713,,3010900,当座預金残高,
160713,,2731800,準備預金残高,
160713,,2260600,積み終了先,
160713,,2260600,超過準備,
160713,,279100,非準預先残高,
160713,,,マネタリーベース,
160713,,積み期間（6/16～7/15日）の所要準備額（積数）,積み期間（6/16～7/15日）の所要準備額（積数）,2076200
160713,,積み期間（6/16～7/15日）の所要準備額（１日平均）,積み期間（6/16～7/15日）の所要準備額（１日平均）,69200
160713,,7/14日以降の残り要積立額（積数）,7/14日以降の残り要積立額（積数）,0
160713,,7/14日以降の残り要積立額（１日平均）,7/14日以降の残り要積立額（１日平均）,0
