date,expected_value,preliminary_value,name,confirmed_value
170130,,,,
170130,700,600,銀行券要因,
170130,-11900,-15400,財政等要因,
170130,-11200,-14800,資金過不足,
170130,,,国債買入,
170130,,,国庫短期証券買入,
170130,,,国庫短期証券売却,
170130,,,国債買現先,
170130,,,国債売現先,
170130,,,共通担保資金供給（本店）,
170130,1500,1500,共通担保資金供給（全店）,
170130,-1400,-1400,"-1,400",
170130,,,ＣＰ買現先,
170130,,,手形売出,
170130,-400,-400,ＣＰ等買入,
170130,,,社債等買入,
170130,200,200,ＥＴＦ買入,
170130,,,Ｊ-ＲＥＩＴ買入,
170130,,,被災地金融機関支援資金供給等,
170130,,,貸出,
170130,100,100,国債補完供給,
170130,,-700,-700,
170130,,,米ドル資金供給用担保国債供給,
170130,+0,-700,小計（除く貸出支援基金）,
170130,,,成長基盤強化支援資金供給,
170130,,,貸出増加支援資金供給,
170130,+0,+0,小計（貸出支援基金）,
170130,+0,-700,合計,
170130,-11200,-15500,当座預金増減,
170130,,3288600,当座預金残高,
170130,,2947000,準備預金残高,
170130,,2478100,積み終了先,
170130,,2478100,超過準備,
170130,,341600,非準預先残高,
170130,,,マネタリーベース,
170130,,積み期間（1/16～2/15日）の所要準備額（積数）,積み期間（1/16～2/15日）の所要準備額（積数）,2230200
170130,,積み期間（1/16～2/15日）の所要準備額（１日平均）,積み期間（1/16～2/15日）の所要準備額（１日平均）,71900
170130,,1/31日以降の残り要積立額（積数）,1/31日以降の残り要積立額（積数）,6200
170130,,1/31日以降の残り要積立額（１日平均）,1/31日以降の残り要積立額（１日平均）,400
