date,expected_value,preliminary_value,name,confirmed_value
170215,,,,
170215,-500,-500,銀行券要因,
170215,58300,57300,財政等要因,
170215,57800,56800,資金過不足,
170215,,,国債買入,
170215,,,国庫短期証券買入,
170215,,,国庫短期証券売却,
170215,,,国債買現先,
170215,,,国債売現先,
170215,,,共通担保資金供給（本店）,
170215,,,共通担保資金供給（全店）,
170215,,,ＣＰ買現先,
170215,,,手形売出,
170215,-1300,-1300,ＣＰ等買入,
170215,,,社債等買入,
170215,400,400,ＥＴＦ買入,
170215,,,Ｊ-ＲＥＩＴ買入,
170215,,,被災地金融機関支援資金供給等,
170215,,,貸出,
170215,10100,10100,国債補完供給,
170215,,-7600,"-7,600",
170215,,,米ドル資金供給用担保国債供給,
170215,+9200,+1600,小計（除く貸出支援基金）,
170215,,,成長基盤強化支援資金供給,
170215,,,貸出増加支援資金供給,
170215,+0,+0,小計（貸出支援基金）,
170215,+9200,+1600,合計,
170215,+67000,+58400,当座預金増減,
170215,,3315100,当座預金残高,
170215,,2973500,準備預金残高,
170215,,2500700,積み終了先,
170215,,2500700,超過準備,
170215,,341600,非準預先残高,
170215,,,マネタリーベース,
170215,,積み期間（1/16～2/15日）の所要準備額（積数）,積み期間（1/16～2/15日）の所要準備額（積数）,2246500
170215,,積み期間（1/16～2/15日）の所要準備額（１日平均）,積み期間（1/16～2/15日）の所要準備額（１日平均）,72500
