date,expected_value,preliminary_value,name,confirmed_value
170201,,,,
170201,500,500,銀行券要因,
170201,-3200,-5900,財政等要因,
170201,-2700,-5400,資金過不足,
170201,,,国債買入,
170201,,,国庫短期証券買入,
170201,,,国庫短期証券売却,
170201,,,国債買現先,
170201,,,国債売現先,
170201,,,共通担保資金供給（本店）,
170201,,,共通担保資金供給（全店）,
170201,,,ＣＰ買現先,
170201,,,手形売出,
170201,-100,-100,ＣＰ等買入,
170201,,,社債等買入,
170201,,,ＥＴＦ買入,
170201,,,Ｊ-ＲＥＩＴ買入,
170201,,,被災地金融機関支援資金供給等,
170201,,,貸出,
170201,600,600,国債補完供給,
170201,,-1500,"-1,500",
170201,,,米ドル資金供給用担保国債供給,
170201,+500,-1000,小計（除く貸出支援基金）,
170201,,,成長基盤強化支援資金供給,
170201,,,貸出増加支援資金供給,
170201,+0,+0,小計（貸出支援基金）,
170201,+500,-1000,合計,
170201,-2200,-6400,当座預金増減,
170201,,3312200,当座預金残高,
170201,,2961400,準備預金残高,
170201,,2494100,積み終了先,
170201,,2494100,超過準備,
170201,,350800,非準預先残高,
170201,,,マネタリーベース,
170201,,積み期間（1/16～2/15日）の所要準備額（積数）,積み期間（1/16～2/15日）の所要準備額（積数）,2227300
170201,,積み期間（1/16～2/15日）の所要準備額（１日平均）,積み期間（1/16～2/15日）の所要準備額（１日平均）,71800
170201,,2/2日以降の残り要積立額（積数）,2/2日以降の残り要積立額（積数）,5200
170201,,2/2日以降の残り要積立額（１日平均）,2/2日以降の残り要積立額（１日平均）,400
