date,expected_value,preliminary_value,name,confirmed_value
170223,,,,
170223,-1700,-1800,銀行券要因,
170223,-5000,-6300,財政等要因,
170223,-6700,-8100,資金過不足,
170223,,,国債買入,
170223,,,国庫短期証券買入,
170223,,,国庫短期証券売却,
170223,,,国債買現先,
170223,,,国債売現先,
170223,,,共通担保資金供給（本店）,
170223,,,共通担保資金供給（全店）,
170223,,,ＣＰ買現先,
170223,,,手形売出,
170223,-300,-300,ＣＰ等買入,
170223,800,800,社債等買入,
170223,-100,-100,-100,
170223,,,ＥＴＦ買入,
170223,,,Ｊ-ＲＥＩＴ買入,
170223,,,被災地金融機関支援資金供給等,
170223,,,貸出,
170223,700,700,国債補完供給,
170223,,-500,-500,
170223,,,米ドル資金供給用担保国債供給,
170223,+1100,+600,小計（除く貸出支援基金）,
170223,,,成長基盤強化支援資金供給,
170223,,,貸出増加支援資金供給,
170223,+0,+0,小計（貸出支援基金）,
170223,+1100,+600,合計,
170223,-5600,-7500,当座預金増減,
170223,,3283400,当座預金残高,
170223,,2951500,準備預金残高,
170223,,2483000,積み終了先,
170223,,2483000,超過準備,
170223,,331900,非準預先残高,
170223,,,マネタリーベース,
170223,,積み期間（2/16～3/15日）の所要準備額（積数）,積み期間（2/16～3/15日）の所要準備額（積数）,2016100
170223,,積み期間（2/16～3/15日）の所要準備額（１日平均）,積み期間（2/16～3/15日）の所要準備額（１日平均）,72000
170223,,2/24日以降の残り要積立額（積数）,2/24日以降の残り要積立額（積数）,7500
170223,,2/24日以降の残り要積立額（１日平均）,2/24日以降の残り要積立額（１日平均）,400
