date,expected_value,preliminary_value,name,confirmed_value
170301,,,,
170301,-600,-600,銀行券要因,
170301,-11100,-13300,財政等要因,
170301,-11700,-13900,資金過不足,
170301,9000,9000,国債買入,
170301,,,国庫短期証券買入,
170301,,,国庫短期証券売却,
170301,,,国債買現先,
170301,,,国債売現先,
170301,,,共通担保資金供給（本店）,
170301,,,共通担保資金供給（全店）,
170301,,,ＣＰ買現先,
170301,,,手形売出,
170301,-500,-500,ＣＰ等買入,
170301,,,社債等買入,
170301,1200,1200,ＥＴＦ買入,
170301,,,Ｊ-ＲＥＩＴ買入,
170301,,,被災地金融機関支援資金供給等,
170301,,,貸出,
170301,2300,2300,国債補完供給,
170301,,-100,-100,
170301,,,米ドル資金供給用担保国債供給,
170301,+12000,+11900,小計（除く貸出支援基金）,
170301,,,成長基盤強化支援資金供給,
170301,,,貸出増加支援資金供給,
170301,+0,+0,小計（貸出支援基金）,
170301,+12000,+11900,合計,
170301,+300,-2000,当座預金増減,
170301,,3294700,当座預金残高,
170301,,2942400,準備預金残高,
170301,,2479900,積み終了先,
170301,,2479900,超過準備,
170301,,352300,非準預先残高,
170301,,,マネタリーベース,
170301,,積み期間（2/16～3/15日）の所要準備額（積数）,積み期間（2/16～3/15日）の所要準備額（積数）,2016600
170301,,積み期間（2/16～3/15日）の所要準備額（１日平均）,積み期間（2/16～3/15日）の所要準備額（１日平均）,72000
170301,,3/2日以降の残り要積立額（積数）,3/2日以降の残り要積立額（積数）,1900
170301,,3/2日以降の残り要積立額（１日平均）,3/2日以降の残り要積立額（１日平均）,100
