date,expected_value,preliminary_value,name,confirmed_value
170228,,,,
170228,-600,-700,銀行券要因,
170228,7600,8000,財政等要因,
170228,7000,7300,資金過不足,
170228,8500,8500,国債買入,
170228,5000,5000,国庫短期証券買入,
170228,,,国庫短期証券売却,
170228,,,国債買現先,
170228,,,国債売現先,
170228,,,共通担保資金供給（本店）,
170228,,,共通担保資金供給（全店）,
170228,,,ＣＰ買現先,
170228,,,手形売出,
170228,3000,3000,ＣＰ等買入,
170228,-3400,-3400,"-3,400",
170228,-100,-100,社債等買入,
170228,200,200,ＥＴＦ買入,
170228,,,Ｊ-ＲＥＩＴ買入,
170228,,,被災地金融機関支援資金供給等,
170228,,,貸出,
170228,100,100,国債補完供給,
170228,,-2300,"-2,300",
170228,,,米ドル資金供給用担保国債供給,
170228,+13300,+11000,小計（除く貸出支援基金）,
170228,,,成長基盤強化支援資金供給,
170228,,,貸出増加支援資金供給,
170228,+0,+0,小計（貸出支援基金）,
170228,+13300,+11000,合計,
170228,+20300,+18300,当座預金増減,
170228,,3296700,当座預金残高,
170228,,2937700,準備預金残高,
170228,,2474200,積み終了先,
170228,,2474100,超過準備,
170228,,359000,非準預先残高,
170228,,,マネタリーベース,
170228,,積み期間（2/16～3/15日）の所要準備額（積数）,積み期間（2/16～3/15日）の所要準備額（積数）,2016600
170228,,積み期間（2/16～3/15日）の所要準備額（１日平均）,積み期間（2/16～3/15日）の所要準備額（１日平均）,72000
170228,,3/1日以降の残り要積立額（積数）,3/1日以降の残り要積立額（積数）,2100
170228,,3/1日以降の残り要積立額（１日平均）,3/1日以降の残り要積立額（１日平均）,100
