date,expected_value,preliminary_value,name,confirmed_value
170224,,,,
170224,-1700,-1700,銀行券要因,
170224,-600,-600,財政等要因,
170224,-2300,-2300,資金過不足,
170224,13100,13100,国債買入,
170224,,,国庫短期証券買入,
170224,,,国庫短期証券売却,
170224,,,国債買現先,
170224,,,国債売現先,
170224,,,共通担保資金供給（本店）,
170224,,,共通担保資金供給（全店）,
170224,,,ＣＰ買現先,
170224,,,手形売出,
170224,-900,-900,ＣＰ等買入,
170224,-400,-400,社債等買入,
170224,,,ＥＴＦ買入,
170224,,,Ｊ-ＲＥＩＴ買入,
170224,,,被災地金融機関支援資金供給等,
170224,,,貸出,
170224,500,500,国債補完供給,
170224,,-300,-300,
170224,,,米ドル資金供給用担保国債供給,
170224,+12300,+12000,小計（除く貸出支援基金）,
170224,,,成長基盤強化支援資金供給,
170224,,,貸出増加支援資金供給,
170224,+0,+0,小計（貸出支援基金）,
170224,+12300,+12000,合計,
170224,+10000,+9700,当座預金増減,
170224,,3293100,当座預金残高,
170224,,2950400,準備預金残高,
170224,,2481600,積み終了先,
170224,,2480100,超過準備,
170224,,342700,非準預先残高,
170224,,,マネタリーベース,
170224,,積み期間（2/16～3/15日）の所要準備額（積数）,積み期間（2/16～3/15日）の所要準備額（積数）,2015600
170224,,積み期間（2/16～3/15日）の所要準備額（１日平均）,積み期間（2/16～3/15日）の所要準備額（１日平均）,72000
170224,,2/27日以降の残り要積立額（積数）,2/27日以降の残り要積立額（積数）,2500
170224,,2/27日以降の残り要積立額（１日平均）,2/27日以降の残り要積立額（１日平均）,100
