date,expected_value,preliminary_value,name,confirmed_value
170306,,,,
170306,1000,1000,銀行券要因,
170306,-4800,-5100,財政等要因,
170306,-3800,-4100,資金過不足,
170306,,,国債買入,
170306,,,国庫短期証券買入,
170306,,,国庫短期証券売却,
170306,,,国債買現先,
170306,,,国債売現先,
170306,,,共通担保資金供給（本店）,
170306,1600,1600,共通担保資金供給（全店）,
170306,-1600,-1600,"-1,600",
170306,,,ＣＰ買現先,
170306,,,手形売出,
170306,-600,-600,ＣＰ等買入,
170306,,,社債等買入,
170306,300,300,ＥＴＦ買入,
170306,,,Ｊ-ＲＥＩＴ買入,
170306,,,被災地金融機関支援資金供給等,
170306,,,貸出,
170306,1100,1100,国債補完供給,
170306,,-600,-600,
170306,,,米ドル資金供給用担保国債供給,
170306,+800,+200,小計（除く貸出支援基金）,
170306,,,成長基盤強化支援資金供給,
170306,,,貸出増加支援資金供給,
170306,+0,+0,小計（貸出支援基金）,
170306,+800,+200,合計,
170306,-3000,-3900,当座預金増減,
170306,,3246300,当座預金残高,
170306,,2900900,準備預金残高,
170306,,2443000,積み終了先,
170306,,2443000,超過準備,
170306,,345400,非準預先残高,
170306,,,マネタリーベース,
170306,,積み期間（2/16～3/15日）の所要準備額（積数）,積み期間（2/16～3/15日）の所要準備額（積数）,2016600
170306,,積み期間（2/16～3/15日）の所要準備額（１日平均）,積み期間（2/16～3/15日）の所要準備額（１日平均）,72000
170306,,3/7日以降の残り要積立額（積数）,3/7日以降の残り要積立額（積数）,900
170306,,3/7日以降の残り要積立額（１日平均）,3/7日以降の残り要積立額（１日平均）,100
