date,expected_value,preliminary_value,name,confirmed_value
170113,,,,
170113,1900,2100,銀行券要因,
170113,-7000,-6700,財政等要因,
170113,-5100,-4600,資金過不足,
170113,,,国債買入,
170113,,,国庫短期証券買入,
170113,,,国庫短期証券売却,
170113,,,国債買現先,
170113,,,国債売現先,
170113,,,共通担保資金供給（本店）,
170113,,,共通担保資金供給（全店）,
170113,,,ＣＰ買現先,
170113,,,手形売出,
170113,-400,-400,ＣＰ等買入,
170113,,,社債等買入,
170113,100,100,ＥＴＦ買入,
170113,,,Ｊ-ＲＥＩＴ買入,
170113,,,被災地金融機関支援資金供給等,
170113,,,貸出,
170113,200,200,国債補完供給,
170113,,-900,-900,
170113,,,米ドル資金供給用担保国債供給,
170113,-100,-1000,小計（除く貸出支援基金）,
170113,,,成長基盤強化支援資金供給,
170113,,,貸出増加支援資金供給,
170113,+0,+0,小計（貸出支援基金）,
170113,-100,-1000,合計,
170113,-5200,-5600,当座預金増減,
170113,,3309200,当座預金残高,
170113,,2973900,準備預金残高,
170113,,2497500,積み終了先,
170113,,2497500,超過準備,
170113,,335300,非準預先残高,
170113,,,マネタリーベース,
170113,,積み期間（12/16～1/15日）の所要準備額（積数）,積み期間（12/16～1/15日）の所要準備額（積数）,2222400
170113,,積み期間（12/16～1/15日）の所要準備額（１日平均）,積み期間（12/16～1/15日）の所要準備額（１日平均）,71700
