date,expected_value,preliminary_value,name,confirmed_value
170207,,,,
170207,1000,1100,銀行券要因,
170207,5100,4600,財政等要因,
170207,6100,5700,資金過不足,
170207,12400,12400,国債買入,
170207,10000,10000,国庫短期証券買入,
170207,,,国庫短期証券売却,
170207,,,国債買現先,
170207,,,国債売現先,
170207,,,共通担保資金供給（本店）,
170207,,,共通担保資金供給（全店）,
170207,,,ＣＰ買現先,
170207,,,手形売出,
170207,-100,-100,ＣＰ等買入,
170207,,,社債等買入,
170207,200,200,ＥＴＦ買入,
170207,,,Ｊ-ＲＥＩＴ買入,
170207,,,被災地金融機関支援資金供給等,
170207,,,貸出,
170207,,-200,国債補完供給,
170207,,,米ドル資金供給用担保国債供給,
170207,+22500,+22300,小計（除く貸出支援基金）,
170207,,,成長基盤強化支援資金供給,
170207,,,貸出増加支援資金供給,
170207,+0,+0,小計（貸出支援基金）,
170207,+22500,+22300,合計,
170207,+28600,+28000,当座預金増減,
170207,,3255700,当座預金残高,
170207,,2927400,準備預金残高,
170207,,2468100,積み終了先,
170207,,2468100,超過準備,
170207,,328300,非準預先残高,
170207,,,マネタリーベース,
170207,,積み期間（1/16～2/15日）の所要準備額（積数）,積み期間（1/16～2/15日）の所要準備額（積数）,2246500
170207,,積み期間（1/16～2/15日）の所要準備額（１日平均）,積み期間（1/16～2/15日）の所要準備額（１日平均）,72500
170207,,2/8日以降の残り要積立額（積数）,2/8日以降の残り要積立額（積数）,2400
170207,,2/8日以降の残り要積立額（１日平均）,2/8日以降の残り要積立額（１日平均）,300
