date,expected_value,preliminary_value,name,confirmed_value
170303,,,,
170303,-400,-300,銀行券要因,
170303,-3400,-5000,財政等要因,
170303,-3800,-5300,資金過不足,
170303,7500,7500,国債買入,
170303,,,国庫短期証券買入,
170303,,,国庫短期証券売却,
170303,,,国債買現先,
170303,,,国債売現先,
170303,,,共通担保資金供給（本店）,
170303,,,共通担保資金供給（全店）,
170303,,,ＣＰ買現先,
170303,,,手形売出,
170303,-300,-300,ＣＰ等買入,
170303,,,社債等買入,
170303,,,ＥＴＦ買入,
170303,,,Ｊ-ＲＥＩＴ買入,
170303,,,被災地金融機関支援資金供給等,
170303,,,貸出,
170303,,-1100,国債補完供給,
170303,,,米ドル資金供給用担保国債供給,
170303,+7200,+6100,小計（除く貸出支援基金）,
170303,5600,5600,成長基盤強化支援資金供給,
170303,-2700,-2700,"-2,700",
170303,,,貸出増加支援資金供給,
170303,+2900,+2900,小計（貸出支援基金）,
170303,+10100,+9000,合計,
170303,+6300,+3700,当座預金増減,
170303,,3250200,当座預金残高,
170303,,2902300,準備預金残高,
170303,,2443300,積み終了先,
170303,,2443300,超過準備,
170303,,347900,非準預先残高,
170303,,,マネタリーベース,
170303,,積み期間（2/16～3/15日）の所要準備額（積数）,積み期間（2/16～3/15日）の所要準備額（積数）,2016600
170303,,積み期間（2/16～3/15日）の所要準備額（１日平均）,積み期間（2/16～3/15日）の所要準備額（１日平均）,72000
170303,,3/6日以降の残り要積立額（積数）,3/6日以降の残り要積立額（積数）,1100
170303,,3/6日以降の残り要積立額（１日平均）,3/6日以降の残り要積立額（１日平均）,100
